framework,file,category,name,start,end,logical_sloc,decision_points
Kornia,experiments/autocontract_h7h_kornia.py,binding,package_classes,74,81,8,3
Kornia,experiments/autocontract_h7h_kornia.py,binding,target_class,84,89,6,3
Kornia,experiments/autocontract_h7h_kornia.py,semantic,ADAPTER_RULES,43,52,10,0
Kornia,experiments/autocontract_h7h_kornia.py,semantic,empty_predecessor,92,96,5,0
Kornia,experiments/autocontract_h7h_kornia.py,semantic,is_child_container,99,101,3,0
Kornia,experiments/autocontract_h7h_kornia.py,semantic,analyze,104,135,32,8
SHARED,experiments/autocontract_h7_adapters.py,shared,FrameworkAdapter,59,62,4,0
SHARED,experiments/autocontract_h7_adapters.py,shared,adapter_for,100,106,7,2
SHARED,experiments/autocontract_h7_adapters.py,shared,execution_nodes,122,147,24,8
SHARED,experiments/autocontract_h7_adapters.py,shared,execution_state_writes,150,166,17,11
SHARED,experiments/autocontract_h7_adapters.py,shared,external_bases,169,177,9,1
SHARED,experiments/autocontract_h7_adapters.py,shared,validator_reasons,341,360,18,11
